temperature,humidity,rainfall,wind_speed,month,crop,region,state,latitude,longitude,pesticide_applications,past_disease_occurrences,leaf_wetness_hours,consecutive_wet_days,soil_moisture,night_temperature,days_since_rain,morning_dew_hours,soil_ph,nitrogen_level,growth_stage,in_high_risk_region,soil_type,ann_rainfall_mm,disease,severity,is_diseased,temp_humidity_index,is_monsoon,is_winter,is_summer,high_humidity,high_rainfall,pesticide_effectiveness
16.2,94.4,53.2,1.1,9,Tomato,Akola,Maharashtra,20.7,77.0,6,1,18.2,8,98.3,5.3,1.8,5.7,6.7,245.5,3,1,black_cotton,820,Tomato___Late_blight,62.8,1,15.2928,1,0,0,1,1,1.0
17.4,88.6,18.0,15.9,7,Grape,Sangli,Maharashtra,16.86,74.56,2,2,11.1,8,76.2,0.0,1.4,6.1,6.7,102.8,3,1,black_cotton,580,Grape___Black_rot,81.8,1,15.4164,1,0,0,1,0,0.4
21.9,59.3,6.7,11.0,5,Grape,Vadodara,Gujarat,22.3,73.18,1,2,4.7,0,45.7,2.0,5.7,2.6,6.7,165.1,2,0,black_cotton,921,Grape___healthy,0.0,0,12.986699999999999,0,0,1,0,0,0.2
20.3,94.3,48.4,8.2,8,Corn,Solapur,Maharashtra,17.66,75.9,9,1,11.6,4,84.4,1.9,1.6,10.1,6.7,141.9,2,1,black_cotton,520,Corn_(maize)___Northern_Leaf_Blight,41.2,1,19.1429,1,0,0,1,1,1.0
20.5,70.2,20.6,8.5,7,Pepper,Solapur,Maharashtra,17.66,75.9,4,1,3.7,2,45.8,0.0,7.8,2.9,6.97,189.7,2,0,black_cotton,520,"Pepper,_bell___healthy",0.0,0,14.391000000000002,1,0,0,0,1,0.8
15.2,93.3,36.6,17.2,7,Corn,Coimbatore,Tamil Nadu,11.01,76.96,2,4,11.7,3,80.5,4.4,2.1,5.5,6.8,212.4,2,1,red_laterite,682,Corn_(maize)___Common_rust_,67.2,1,14.181599999999998,1,0,0,1,1,0.4
22.4,67.8,16.3,7.0,4,Tomato,Solan,Himachal Pradesh,30.9,77.1,5,1,4.0,1,59.2,2.5,5.7,4.9,6.29,103.1,2,0,red_laterite,1106,Tomato___healthy,0.0,0,15.187199999999997,0,0,1,0,0,1.0
17.2,51.3,7.1,10.3,5,Peach,Chennai,Tamil Nadu,13.08,80.27,5,0,4.5,1,49.6,4.1,8.9,3.5,6.44,181.5,2,0,red_laterite,1398,Peach___healthy,0.0,0,8.823599999999999,0,0,1,0,0,1.0
28.4,76.7,46.8,19.9,7,Pepper,Nashik,Maharashtra,19.99,73.79,3,3,14.0,2,69.6,8.1,0.8,3.1,6.8,145.6,2,1,red_laterite,620,"Pepper,_bell___Bacterial_spot",61.3,1,21.782799999999998,1,0,0,1,1,0.6000000000000001
15.9,90.3,39.5,18.1,5,Grape,Mysore,Karnataka,12.29,76.64,1,1,19.3,4,77.9,3.4,1.4,9.5,5.72,198.5,3,1,red_laterite,752,Grape___Black_rot,69.1,1,14.3577,0,0,1,1,1,0.2
15.3,89.8,22.0,36.1,3,Wheat,Agra,Uttar Pradesh,27.17,78.01,2,0,9.4,4,66.6,8.4,5.2,7.9,7.07,155.9,2,1,alluvial,660,Wheat___Leaf_rust,57.8,1,13.7394,0,0,1,1,1,0.4
25.5,83.3,5.9,2.5,12,Potato,Amritsar,Punjab,31.63,74.87,5,0,11.3,4,52.1,9.9,4.9,3.6,6.44,80.7,2,1,alluvial,682,Potato___Early_blight,30.6,1,21.241500000000002,0,1,0,1,0,1.0
24.7,100.0,14.7,16.7,8,Corn,Latur,Maharashtra,18.4,76.56,2,1,8.8,4,69.4,13.5,1.4,8.1,6.7,121.3,2,1,black_cotton,742,Corn_(maize)___Common_rust_,49.9,1,24.7,1,0,0,1,0,0.4
23.9,50.0,7.0,6.9,5,Blueberry,Gwalior,Madhya Pradesh,26.22,78.18,2,1,3.5,2,52.7,15.7,7.0,4.1,6.2,139.2,2,0,alluvial,762,Blueberry___healthy,0.0,0,11.95,0,0,1,0,0,0.4
18.6,61.9,7.6,8.7,1,Raspberry,Varanasi,Uttar Pradesh,25.31,82.97,9,1,3.7,1,53.1,2.2,5.5,3.5,6.2,133.7,2,0,alluvial,1110,Raspberry___healthy,0.0,0,11.5134,0,1,0,0,0,1.0
30.1,90.1,14.8,10.0,9,Peach,Kullu,Himachal Pradesh,31.95,77.1,4,1,9.5,5,73.2,6.1,2.9,9.3,6.47,167.9,2,1,red_laterite,1262,Peach___Bacterial_spot,45.7,1,27.120099999999997,1,0,0,1,0,0.8
19.5,70.4,34.2,10.4,7,Tomato,Latur,Maharashtra,18.4,76.56,5,1,12.2,5,61.1,3.1,1.7,5.3,6.7,146.2,2,1,black_cotton,742,Tomato___Septoria_leaf_spot,33.0,1,13.728000000000002,1,0,0,0,1,1.0
21.3,80.0,38.2,16.6,6,Peach,Meerut,Uttar Pradesh,28.98,77.7,3,0,7.7,6,78.3,1.1,2.1,6.1,6.9,155.7,2,0,alluvial,814,Peach___Bacterial_spot,52.8,1,17.04,1,0,0,1,1,0.6000000000000001
17.3,69.4,9.8,6.1,1,Raspberry,Patna,Bihar,25.59,85.13,3,0,3.2,1,42.5,0.0,6.4,3.3,6.2,111.0,2,0,alluvial,1122,Raspberry___healthy,0.0,0,12.006200000000002,0,1,0,0,0,0.6000000000000001
22.3,49.9,4.0,7.6,7,Peach,Kolkata,West Bengal,22.57,88.36,1,0,3.9,0,56.6,8.0,11.8,2.1,6.54,182.5,2,0,alluvial,1582,Peach___healthy,0.0,0,11.127699999999999,1,0,0,0,0,0.2
22.0,65.8,18.9,5.1,10,Strawberry,Vijayawada,Andhra Pradesh,16.5,80.64,2,0,4.9,2,63.6,4.6,9.9,3.1,6.2,121.3,2,0,alluvial,1012,Strawberry___healthy,0.0,0,14.475999999999999,0,0,0,0,0,0.4
18.9,82.7,8.0,14.2,2,Wheat,Jabalpur,Madhya Pradesh,23.18,79.94,5,0,7.6,2,64.3,9.8,7.1,5.4,6.8,110.2,2,1,red_laterite,1310,Wheat___Leaf_rust,45.7,1,15.6303,0,1,0,1,0,1.0
21.1,59.1,15.2,5.8,5,Pepper,Mysore,Karnataka,12.29,76.64,5,1,5.3,2,60.0,1.5,6.2,3.2,6.66,173.2,2,0,red_laterite,752,"Pepper,_bell___healthy",0.0,0,12.470100000000002,0,0,1,0,0,1.0
26.4,89.5,29.4,5.9,8,Corn,Mysore,Karnataka,12.29,76.64,5,0,13.6,4,80.0,10.2,1.7,8.2,6.3,153.7,3,1,red_laterite,752,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,39.7,1,23.627999999999997,1,0,0,1,1,1.0
19.2,89.3,15.8,12.9,5,Tomato,Bangalore,Karnataka,12.97,77.59,1,0,6.7,2,53.5,2.7,8.0,3.3,6.07,117.7,2,1,red_laterite,948,Tomato___Early_blight,61.7,1,17.145599999999998,0,0,1,1,0,0.2
8.2,97.0,14.3,2.0,8,Apple,Dharamsala,Himachal Pradesh,32.21,76.32,2,5,15.3,9,88.7,0.0,1.4,8.8,6.23,175.7,1,1,red_laterite,2542,Apple___Apple_scab,42.4,1,7.954,1,0,0,1,0,0.4
22.2,56.6,19.1,9.5,5,Tomato,Jaipur,Rajasthan,26.91,75.79,5,1,2.6,1,58.1,6.9,7.8,3.3,6.83,122.4,2,0,sandy,592,Tomato___healthy,0.0,0,12.565199999999999,0,0,1,0,0,1.0
23.0,90.5,11.9,11.2,8,Strawberry,Sangli,Maharashtra,16.86,74.56,1,0,10.9,2,67.0,7.4,7.3,4.3,6.7,88.6,2,1,black_cotton,580,Strawberry___Leaf_scorch,48.8,1,20.815,1,0,0,1,0,0.2
18.0,92.7,42.8,0.7,5,Apple,Dharamsala,Himachal Pradesh,32.21,76.32,0,1,15.1,7,88.2,10.5,0.4,11.2,5.96,113.0,1,1,red_laterite,2542,Apple___Apple_scab,50.3,1,16.686,0,0,1,1,1,0.0
16.4,97.7,55.1,11.5,9,Tomato,Muzaffarpur,Bihar,26.12,85.36,1,3,14.6,10,87.3,2.3,1.2,6.7,6.3,249.2,3,1,alluvial,1068,Tomato___Late_blight,66.1,1,16.0228,1,0,0,1,1,0.2
13.2,79.7,26.3,10.8,2,Wheat,Ludhiana,Punjab,30.9,75.85,3,1,10.5,4,63.6,1.1,5.9,9.0,6.87,109.1,2,1,alluvial,712,Wheat___Leaf_rust,69.0,1,10.5204,0,1,0,1,1,0.6000000000000001
31.7,85.8,23.4,25.2,9,Peach,Lucknow,Uttar Pradesh,26.85,80.94,1,0,8.0,3,85.6,8.3,0.3,6.6,6.46,111.4,2,0,alluvial,898,Peach___Bacterial_spot,51.2,1,27.198599999999995,1,0,0,1,1,0.2
19.8,73.6,36.6,11.2,8,Grape,Pune,Maharashtra,18.52,73.85,0,0,14.8,5,73.0,2.0,3.5,5.9,5.86,102.3,2,1,red_laterite,722,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),67.9,1,14.572799999999999,1,0,0,0,1,0.0
17.4,53.8,14.1,7.9,6,Tomato,Muzaffarpur,Bihar,26.12,85.36,1,3,5.6,0,50.1,0.0,3.5,1.7,6.58,181.1,2,0,alluvial,1068,Tomato___healthy,0.0,0,9.361199999999998,1,0,0,0,0,0.2
22.8,62.8,18.6,8.5,10,Peach,Bhubaneswar,Odisha,20.29,85.82,3,1,2.2,0,46.7,12.5,8.2,2.1,6.2,114.9,2,0,red_laterite,1482,Peach___healthy,0.0,0,14.318399999999999,0,0,0,0,0,0.6000000000000001
6.7,93.7,41.2,3.4,5,Apple,Kullu,Himachal Pradesh,31.95,77.1,1,1,18.5,5,99.1,0.0,0.6,5.2,6.23,116.6,1,1,red_laterite,1262,Apple___Apple_scab,53.8,1,6.277900000000001,0,0,1,1,1,0.2
20.4,98.0,27.1,4.5,7,Apple,Shimla,Himachal Pradesh,31.1,77.17,1,2,5.4,2,65.0,1.0,2.1,7.3,6.8,173.8,3,1,red_laterite,1575,Apple___Black_rot,82.8,1,19.991999999999997,1,0,0,1,1,0.2
30.2,46.6,2.1,12.6,7,Grape,Gwalior,Madhya Pradesh,26.22,78.18,6,1,0.1,1,35.9,11.6,38.4,1.3,6.81,127.8,2,0,alluvial,762,Grape___Esca_(Black_Measles),53.3,1,14.0732,1,0,0,0,0,1.0
17.5,82.7,5.8,15.3,8,Corn,Mysore,Karnataka,12.29,76.64,3,2,15.2,7,66.5,1.1,1.6,10.7,6.8,110.0,2,1,red_laterite,752,Corn_(maize)___Northern_Leaf_Blight,50.0,1,14.4725,1,0,0,1,0,0.6000000000000001
23.3,65.5,1.8,12.7,10,Grape,Solapur,Maharashtra,17.66,75.9,2,4,2.0,1,17.6,0.0,18.7,3.9,6.7,135.3,2,1,black_cotton,520,Grape___Esca_(Black_Measles),79.2,1,15.261500000000002,0,0,0,0,0,0.4
15.3,95.7,53.3,7.8,6,Tomato,Lucknow,Uttar Pradesh,26.85,80.94,4,1,10.3,7,93.8,6.3,1.0,8.0,6.2,278.6,3,1,alluvial,898,Tomato___Late_blight,70.3,1,14.642100000000001,1,0,0,1,1,0.8
26.8,92.6,23.8,3.6,5,Tomato,Mysore,Karnataka,12.29,76.64,3,1,10.6,4,65.5,4.3,5.9,3.3,5.99,145.1,3,1,red_laterite,752,Tomato___Target_Spot,50.0,1,24.816799999999997,0,0,1,1,1,0.6000000000000001
22.2,63.8,16.6,10.2,10,Corn,Solapur,Maharashtra,17.66,75.9,0,3,2.7,1,48.8,5.0,10.9,2.4,6.75,192.5,2,0,black_cotton,520,Corn_(maize)___healthy,0.0,0,14.163599999999999,0,0,0,0,0,0.0
22.3,62.6,12.6,3.7,2,Grape,Bathinda,Punjab,30.21,74.94,4,0,2.3,1,49.0,2.8,7.4,3.3,6.2,188.8,2,0,alluvial,404,Grape___healthy,0.0,0,13.9598,0,1,0,0,0,0.8
29.6,53.9,17.6,9.9,5,Pepper,Nagpur,Maharashtra,21.14,79.08,3,1,1.5,2,44.7,6.7,9.3,4.6,6.7,126.6,2,0,black_cotton,1025,"Pepper,_bell___healthy",0.0,0,15.9544,0,0,1,0,0,0.6000000000000001
22.2,66.3,10.1,4.8,12,Potato,Dharwad,Karnataka,15.45,75.01,0,3,5.1,2,50.1,6.8,6.0,3.5,6.7,194.4,2,0,black_cotton,742,Potato___healthy,0.0,0,14.718599999999999,0,1,0,0,0,0.0
30.3,95.8,38.0,18.8,9,Grape,Bhubaneswar,Odisha,20.29,85.82,2,3,18.5,5,77.1,8.7,0.7,8.3,5.98,169.8,3,0,red_laterite,1482,Grape___Black_rot,58.2,1,29.027399999999997,1,0,0,1,1,0.4
14.7,66.6,15.1,12.0,5,Apple,Hyderabad,Telangana,17.38,78.47,4,0,5.1,1,59.7,0.0,4.3,3.0,5.89,97.2,2,0,red_laterite,812,Apple___healthy,0.0,0,9.790199999999999,0,0,1,0,0,0.8
35.5,51.0,8.8,4.6,11,Tomato,Aurangabad,Maharashtra,19.87,75.34,2,0,2.0,1,52.2,10.7,23.8,1.6,6.7,180.4,1,1,black_cotton,726,Tomato___Tomato_Yellow_Leaf_Curl_Virus,91.2,1,18.105,0,1,0,0,0,0.4
14.3,93.3,27.7,3.2,3,Tomato,Akola,Maharashtra,20.7,77.0,6,0,17.9,10,87.7,4.5,1.4,4.1,6.7,206.2,3,1,black_cotton,820,Tomato___Late_blight,67.6,1,13.3419,0,0,1,1,1,1.0
26.2,73.2,9.6,10.1,5,Apple,Dharwad,Karnataka,15.45,75.01,1,5,14.6,2,71.1,4.2,4.2,6.6,6.8,91.2,3,0,black_cotton,742,Apple___Black_rot,67.4,1,19.1784,0,0,1,0,0,0.2
25.3,93.3,33.8,20.7,8,Tomato,Hyderabad,Telangana,17.38,78.47,3,1,12.8,4,70.7,1.9,0.4,7.5,6.8,147.7,2,1,red_laterite,812,Tomato___Bacterial_spot,38.5,1,23.604899999999997,1,0,0,1,1,0.6000000000000001
14.7,64.3,23.5,7.7,3,Raspberry,Surat,Gujarat,21.17,72.83,0,0,4.1,0,50.9,7.1,6.3,3.7,6.2,124.5,2,0,alluvial,1168,Raspberry___healthy,0.0,0,9.4521,0,0,1,0,1,0.0
23.8,59.1,11.3,4.8,5,Potato,Aurangabad,Maharashtra,19.87,75.34,0,0,3.5,0,53.3,12.9,3.3,4.9,6.7,110.8,2,0,black_cotton,726,Potato___healthy,0.0,0,14.065800000000001,0,0,1,0,0,0.0
21.4,91.9,13.1,0.0,9,Tomato,Burdwan,West Bengal,23.23,87.85,1,1,19.7,14,81.1,6.8,1.5,10.8,6.2,198.5,3,1,alluvial,1428,Tomato___Leaf_Mold,40.5,1,19.666600000000003,1,0,0,1,0,0.2
23.2,88.9,38.6,10.3,4,Tomato,Ludhiana,Punjab,30.9,75.85,5,4,6.1,5,61.9,11.1,4.0,6.5,6.89,131.8,2,1,alluvial,712,Tomato___Septoria_leaf_spot,38.7,1,20.6248,0,0,1,1,1,1.0
23.5,44.4,14.6,4.5,5,Grape,Coimbatore,Tamil Nadu,11.01,76.96,4,1,1.2,0,46.2,6.7,8.7,4.7,6.51,152.4,2,0,red_laterite,682,Grape___healthy,0.0,0,10.434,0,0,1,0,0,0.8
25.8,92.8,14.3,25.1,8,Orange,Patiala,Punjab,30.33,76.39,1,1,8.1,4,71.9,2.9,2.5,1.6,6.2,138.8,2,1,alluvial,726,Orange___Haunglongbing_(Citrus_greening),87.3,1,23.9424,1,0,0,1,0,0.2
27.2,88.4,19.2,16.2,7,Grape,Bangalore,Karnataka,12.97,77.59,4,0,20.2,7,88.3,10.1,0.5,8.6,5.98,192.8,3,1,red_laterite,948,Grape___Black_rot,58.7,1,24.0448,1,0,0,1,0,0.8
25.3,91.2,17.9,8.3,9,Corn,Bangalore,Karnataka,12.97,77.59,1,3,10.8,11,74.9,4.7,2.8,11.1,6.42,162.8,3,1,red_laterite,948,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,56.8,1,23.073600000000003,1,0,0,1,0,0.2
30.3,86.4,46.3,33.1,8,Tomato,Dharwad,Karnataka,15.45,75.01,4,1,8.4,6,75.8,9.0,1.5,4.8,6.7,124.5,2,1,black_cotton,742,Tomato___Bacterial_spot,47.3,1,26.1792,1,0,0,1,1,0.8
15.2,98.5,69.1,11.7,5,Apple,Dharamsala,Himachal Pradesh,32.21,76.32,0,2,9.3,7,86.1,1.6,1.0,11.8,5.9,158.2,1,1,red_laterite,2542,Apple___Apple_scab,68.9,1,14.971999999999998,0,0,1,1,1,0.0
17.2,47.3,11.4,8.0,6,Peach,Kota,Rajasthan,25.18,75.83,6,2,2.0,1,55.3,2.7,6.6,3.5,6.7,151.0,2,0,black_cotton,680,Peach___healthy,0.0,0,8.1356,1,0,0,0,0,1.0
33.2,92.4,13.9,9.1,1,Orange,Patiala,Punjab,30.33,76.39,3,2,5.8,1,67.2,15.1,10.0,4.7,6.68,74.3,2,1,alluvial,726,Orange___Haunglongbing_(Citrus_greening),87.0,1,30.676800000000004,0,1,0,1,0,0.6000000000000001
21.2,70.5,15.5,6.9,5,Soybean,Gwalior,Madhya Pradesh,26.22,78.18,1,4,0.8,1,46.4,1.1,6.0,4.8,6.63,115.0,2,0,alluvial,762,Soybean___healthy,0.0,0,14.946,0,0,1,0,0,0.2
15.9,54.4,15.3,11.0,7,Raspberry,Ludhiana,Punjab,30.9,75.85,0,2,7.7,0,57.0,6.7,7.6,3.4,6.2,98.9,2,0,alluvial,712,Raspberry___healthy,0.0,0,8.6496,1,0,0,0,0,0.0
19.2,91.6,9.5,2.3,8,Tomato,Surat,Gujarat,21.17,72.83,5,0,21.7,11,88.3,4.9,1.5,8.4,6.2,263.2,3,0,alluvial,1168,Tomato___Leaf_Mold,38.7,1,17.5872,1,0,0,1,0,1.0
23.0,91.0,16.3,22.1,7,Pepper,Sangli,Maharashtra,16.86,74.56,5,1,11.1,6,66.0,0.0,1.4,3.4,6.7,182.7,2,1,black_cotton,580,"Pepper,_bell___Bacterial_spot",36.2,1,20.93,1,0,0,1,0,1.0
26.0,60.3,6.9,10.8,7,Squash,Solapur,Maharashtra,17.66,75.9,7,0,2.9,1,41.5,11.3,24.6,2.2,6.7,204.7,2,1,black_cotton,520,Squash___Powdery_mildew,15.2,1,15.677999999999999,1,0,0,0,0,1.0
20.2,58.9,24.7,5.8,3,Soybean,Dharamsala,Himachal Pradesh,32.21,76.32,1,4,5.7,0,48.1,0.0,10.3,1.1,6.32,108.4,2,0,red_laterite,2542,Soybean___healthy,0.0,0,11.8978,0,0,1,0,1,0.2
23.8,65.4,17.9,38.6,7,Wheat,Karnal,Haryana,29.68,76.99,2,0,13.2,5,63.4,12.2,3.9,5.3,7.21,112.8,2,1,alluvial,772,Wheat___Leaf_rust,70.2,1,15.565200000000003,1,0,0,0,0,0.4
21.6,91.9,10.5,5.2,9,Tomato,Muzaffarpur,Bihar,26.12,85.36,1,0,20.8,13,77.8,7.0,2.4,9.4,6.2,163.5,3,1,alluvial,1068,Tomato___Leaf_Mold,41.7,1,19.8504,1,0,0,1,0,0.2
26.7,79.0,28.2,15.1,8,Pepper,Mysore,Karnataka,12.29,76.64,1,1,14.6,4,63.6,3.6,1.1,4.8,6.8,177.5,2,1,red_laterite,752,"Pepper,_bell___Bacterial_spot",63.5,1,21.092999999999996,1,0,0,1,1,0.2
20.7,95.6,12.1,0.0,9,Tomato,Kolhapur,Maharashtra,16.7,74.24,0,2,19.4,10,77.0,6.3,3.2,10.0,6.39,162.2,3,0,red_laterite,1052,Tomato___Leaf_Mold,46.2,1,19.789199999999997,1,0,0,1,0,0.0
27.2,86.7,32.6,9.7,9,Grape,Latur,Maharashtra,18.4,76.56,3,0,11.9,3,89.2,8.2,1.0,7.5,6.7,134.7,3,1,black_cotton,742,Grape___Black_rot,67.8,1,23.582400000000003,1,0,0,1,1,0.6000000000000001
36.4,71.8,10.2,8.5,1,Grape,Amravati,Maharashtra,20.93,77.75,3,1,4.7,0,39.1,16.9,17.6,0.9,6.7,57.2,2,1,black_cotton,788,Grape___Esca_(Black_Measles),59.6,1,26.1352,0,1,0,0,0,0.6000000000000001
36.5,61.9,12.5,9.7,11,Tomato,Nashik,Maharashtra,19.99,73.79,7,1,1.4,0,50.8,12.0,10.6,1.1,6.38,164.8,1,1,red_laterite,620,Tomato___Tomato_Yellow_Leaf_Curl_Virus,50.0,1,22.5935,0,1,0,0,0,1.0
28.2,56.8,11.1,6.8,7,Grape,Siliguri,West Bengal,26.72,88.43,0,1,4.9,2,45.7,10.0,4.7,2.2,6.2,106.6,2,0,alluvial,2888,Grape___healthy,0.0,0,16.0176,1,0,0,0,0,0.0
30.1,82.4,6.3,7.3,1,Potato,Amravati,Maharashtra,20.93,77.75,0,0,10.1,3,59.2,14.9,13.8,5.0,6.7,133.3,2,0,black_cotton,788,Potato___Early_blight,45.9,1,24.802400000000002,0,1,0,1,0,0.0
19.2,81.1,29.0,33.2,7,Corn,Dharwad,Karnataka,15.45,75.01,0,1,13.9,4,82.1,5.9,0.4,7.5,6.7,168.4,2,1,black_cotton,742,Corn_(maize)___Common_rust_,62.4,1,15.5712,1,0,0,1,1,0.0
25.6,88.6,7.5,8.3,7,Corn,Nashik,Maharashtra,19.99,73.79,4,3,10.9,3,81.1,7.2,2.6,10.4,6.68,180.2,2,1,red_laterite,620,Corn_(maize)___Northern_Leaf_Blight,57.8,1,22.6816,1,0,0,1,0,0.8
20.6,47.2,12.9,3.7,2,Tomato,Karnal,Haryana,29.68,76.99,0,3,4.7,2,39.5,5.6,5.6,0.2,6.73,61.8,1,1,alluvial,772,Tomato___Tomato_mosaic_virus,75.4,1,9.723200000000002,0,1,0,0,0,0.0
19.7,90.6,57.7,1.6,5,Apple,Shimla,Himachal Pradesh,31.1,77.17,2,0,11.0,5,95.6,11.3,1.4,9.1,6.34,149.4,1,1,red_laterite,1575,Apple___Apple_scab,46.4,1,17.8482,0,0,1,1,1,0.4
23.4,86.6,24.5,29.8,8,Pepper,Madurai,Tamil Nadu,9.93,78.12,3,0,17.2,7,87.7,0.0,0.8,5.9,6.7,100.9,2,1,black_cotton,924,"Pepper,_bell___Bacterial_spot",49.1,1,20.2644,1,0,0,1,1,0.6000000000000001
28.7,92.6,27.3,10.6,9,Apple,Dharamsala,Himachal Pradesh,32.21,76.32,2,0,11.6,2,79.4,12.8,6.3,7.1,6.32,144.6,3,1,red_laterite,2542,Apple___Black_rot,61.9,1,26.5762,1,0,0,1,1,0.4
16.2,75.1,29.2,15.1,5,Apple,Dharamsala,Himachal Pradesh,32.21,76.32,6,0,9.3,2,60.8,0.0,3.8,5.2,5.88,144.1,3,1,red_laterite,2542,Apple___Black_rot,32.8,1,12.166199999999998,0,0,1,1,1,1.0
28.6,66.3,14.1,13.4,3,Potato,Ahmedabad,Gujarat,23.02,72.57,4,0,11.4,4,58.4,11.8,4.0,2.8,6.7,94.5,2,1,black_cotton,782,Potato___Early_blight,34.9,1,18.9618,0,0,1,0,0,0.8
35.2,85.6,15.6,20.4,6,Orange,Jabalpur,Madhya Pradesh,23.18,79.94,2,0,1.0,4,59.0,10.4,13.5,3.2,6.13,77.8,2,1,red_laterite,1310,Orange___Haunglongbing_(Citrus_greening),82.6,1,30.1312,1,0,0,1,0,0.4
29.8,57.3,15.4,8.3,11,Pepper,Indore,Madhya Pradesh,22.71,75.85,1,4,1.1,0,44.5,9.2,9.0,2.0,6.7,175.0,2,0,black_cotton,985,"Pepper,_bell___healthy",0.0,0,17.0754,0,1,0,0,0,0.2
13.6,65.2,20.6,7.5,12,Cherry,Siliguri,West Bengal,26.72,88.43,3,4,7.3,1,56.2,0.0,5.2,5.0,6.43,82.5,2,0,alluvial,2888,Cherry_(including_sour)___healthy,0.0,0,8.8672,0,1,0,0,1,0.6000000000000001
23.9,89.0,37.0,7.4,8,Tomato,Varanasi,Uttar Pradesh,25.31,82.97,4,3,15.9,8,84.4,11.2,1.0,7.6,6.42,192.4,3,1,alluvial,1110,Tomato___Late_blight,56.8,1,21.271,1,0,0,1,1,0.8
27.8,89.4,20.3,6.2,8,Grape,Aurangabad,Maharashtra,19.87,75.34,0,0,8.2,8,71.3,11.2,4.3,11.8,6.7,133.1,2,1,black_cotton,726,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),47.5,1,24.8532,1,0,0,1,1,0.0
14.6,86.0,20.9,11.7,12,Potato,Siliguri,West Bengal,26.72,88.43,1,3,12.3,7,95.9,4.6,1.3,5.8,6.2,170.9,3,1,alluvial,2888,Potato___Late_blight,85.4,1,12.556,0,1,0,1,1,0.2
18.7,100.0,16.2,2.0,6,Tomato,Kullu,Himachal Pradesh,31.95,77.1,1,0,18.2,6,82.0,4.7,0.2,4.8,5.78,280.1,3,1,red_laterite,1262,Tomato___Late_blight,64.6,1,18.7,1,0,0,1,0,0.2
